artista,oyentes,reproducciones
Victor Valverde,23114,260234
Mounim Slimani,2643,24504
Olivia Rodrigo,2852980,500829154
Billie Eilish,3920201,748258931
Sevdaliza,997586,28318968
TWICE,1675000,438290921
Q' Lokura,21007,531754
Luis Cortés,8051,85545
Figoshin,3765,118423
Valerieblud,1848,68204
Kungs,804331,9231669
Victor Mendivil,57094,3000837
Forrest Frank,202754,5266970
Yami Safdie,117549,1678787
GAMPER & DADONI,253043,2361327
Chappell Roan,2305168,285413422
Dani Martín,42855,762076
Nouamane Belaiachi,3568,30769
BLOND:ISH,274171,1841816
ATEEZ,723393,185282276
Clairo,2687015,301349698
Beyoncé,6130797,649055205
Travis Birds,14164,194822
Meghan Trainor,1975172,41335579
Bizarrap,850127,42016935
Duke,81255,474961
Babasha,12064,576383
Jimin,778541,709547872
KATSEYE,1119092,59414569
Daniela Spalla,72682,1826840
Chino Pacas,195651,4497361
Ravyn Lenae,1375736,34936246
Douaa Lahyaoui,4047,45458
natori,246768,6648010
Camilo,341225,6788241
The Marías,2122447,171066536
Stray Kids,1210598,425737339
Cosita Wena,807,3616
Gabry Ponte,433311,5613176
Pedro Mizutani,111135,854099
Taylor Swift,5582029,3307571763
Ed Sheeran,3975059,240069478
Marshmello,2389887,63069763
Benjamin Steer,26381,236508
Léo Foguete,119160,2268415
Beret,102208,2536114
Luis R Conriquez,163927,6181588
Ozedikus,26204,103371
i-dle,351945,8771784
Rachel Chinouriri,675724,15626589
Paulo Londra,354798,14965455
ヨルシカ,213109,8814728
Kocchi no Kento,154506,2484434
Cha Eun-Woo,72055,6184113
Calvin Harris,4733676,190413089
Mark Ambor,509397,5086650
Dylan Scott,168963,2651881
Las Rodes,1563,8985
LISA,1763124,113421643
Post Malone,3307095,307220853
Jelly Roll,297360,6141653
Álvaro De Luna,32367,502189
Isabel Aaiún,18395,169140
Jin,702661,594667245
LE SSERAFIM,1395305,222294656
Charli xcx,3476402,620981522
bbno$,1290918,53652134
RM,701437,431293343
HERNAN TREJO,11226,222768
Purple Disco Machine,559363,9850624
Theo Rose,9489,128677
Cigarettes After Sex,2611199,263705128
Jorsshh,40375,476802
adore,567359,6950640
Shaw,6573,199156
ILLIT,908638,58942248
DePol,17979,282283
Kany García,110593,1610995
Phil Walker,7093,28473
Lady Gaga,7358416,942504623
CKay,677275,8714254
Alok,1142903,23242945
Don Henley,1137680,10403333
Shakira,4586606,165999965
Eminem,7515122,537751763
Tito Double P,171681,10477439
Lay Bankz,627693,8402491
Lali,122931,7698616
Hind Ziadi,2248,18584
Peso Pluma,618122,43687766
La Llave,1022,4720
Imagine Dragons,3865168,237077481
CYRIL,274748,1995191
Neton Vega,178631,5451315
Oscar Maydon,214741,7978217
Tate McRae,1998705,202471101
Trinix,271899,2412487
GEMN,51939,797941
David Guetta,4945517,174581710
Gracie Abrams,1647983,252305207
Olivia Dean,670649,17528013
Artemas,1442854,40451122
Sophie Ellis-Bextor,1698042,29984748
Paula Díez,362,1120
Shaboozey,686319,9520433
Natanael Cano,328956,30242212
Martin Garrix,1961925,47813296
TOMORROW X TOGETHER,1123100,392206024
La K'onga,31280,650516
Janaína,3851,31295
SEVENTEEN,870682,268050924
Tawsen,12305,185070
La Receta,37210,560265
Omar Montes,109173,1814716
Eugenia Quevedo,5937,93345
Billy Sharp,23187,95728
Raule,3597,55982
Joost,368214,25509924
Jung Kook,1299143,715716393
32ki,130482,2589458
Fonseca,201537,2793536
Stormy,21215,628367
Luck Ra,106307,2927667
Tyla,1251955,39221697
TINI,368112,17689186
Sabrina Carpenter,2911602,507320095
Fuerza Regida,464830,31687519
Zara Larsson,1727778,50384011
ZICO,616002,16132006
NAYEON,703415,36569456
Kygo,1877456,55955536
Benson Boone,1323406,38178753
Greeicy,116590,1886362
j-hope,916559,628407703
Iuly Neamtu,12164,636860
d4vd,2135147,101766917
ROSÉ,1507774,91120696
beabadoobee,2362617,271871212
Madison Beer,1423584,82234800
Quavo,1190806,27817545
Teddy Swims,1005551,17161902
Felix Jaehn,793291,10421076
aespa,1184039,236034215
Calle 24,166977,4220113
Dua Lipa,3054376,295450130
YEONJUN,201413,8327988
Ginton,26496,90771
NewJeans,1616208,292603894
Mocci,7179,88215
Ha*Ash,147443,3446772
MARLENA,24402,549282
Xavi,273641,6841435
Lewis Capaldi,1430772,48002879
BOYNEXTDOOR,293951,34715934
Alex Warren,730949,18894988
JENNIE,1299833,87417338
MEOVV,231932,7211850
Ariana Grande,4128101,970171869
Juan Freer,12965,96940
Lazaro,14210,134942
7-Toun,2730,29543
Carín León,61234,637679
Gya,10072,193723
DELLAFUENTE,120042,5000052
ENHYPEN,988620,268451519
JADE,539622,17276063
Zouhair Bahaoui,21719,242672
Beéle,167057,3289016
Pepe y Vizio,19452,313090
Benjamin Ingrosso,183337,4889232
Käärijä,284201,11470207
Chuyin,36689,524885
Gabito Ballesteros,109343,4416906
Addison Rae,1179802,75895592
Majestic,500164,3438260
BABYMONSTER,446730,26412920
ian,600717,36333346
Coldplay,8753151,746456437
Kish,24274,153605
Lully Hill,3915,38822
Clave Especial,102939,3175758
MY FIRST STORY,145347,5422805
Demarco Flamenco,19845,142879
ELIKIA,6376,33885
XG,689130,49415446
CA7RIEL & Paco Amoroso,147880,8587701
Love of Lesbian,172822,11158404
Magdalena Bay,1232883,87756868
KALIL,1874,20776
Antoñito Molina,5443,63103
R3HAB,907061,15175659
Marta Santos,16358,200453
Laza Bossa,6363,70445
ZUTOMAYO,301009,14334066
Tzanca Uraganu,21370,1645711
V,829019,644254970
KISS OF LIFE,655356,57044710
Probador,345,2881
Jaziel Avilez,30882,265720
Dutch Melrose,385134,9247647
Music Travel Love,54797,895882
Pinky SD,13804,452654
PEDRO SAMPAIO,457128,19521028
Julieta Venegas,761175,19194584
Manuel Turizo,475208,8739711
Lbenj,6625,90469
Andrei Banuta,2568,28259
Jason Derulo,2943051,56445447
IVE,944539,139700634
